"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-8,41;-14,75;-10,92;-56,75;-39,73;-104,56
-9,62;-14,07;-12,58;-56,00;-39,45;-104,14
-9,29;-12,63;-14,35;-54,00;-38,24;-103,34
-13,54;-11,43;-17,07;-52,68;-36,93;-102,25
-12,44;-10,29;-18,53;-50,22;-36,07;-101,50
-11,97;-8,73;-16,05;-48,84;-35,32;-100,24
-12,54;-8,05;-20,92;-46,61;-34,00;-99,21
-13,03;-6,62;-21,25;-45,18;-33,08;-98,23
-16,87;-5,23;-23,03;-43,29;-32,40;-97,03
-15,42;-4,61;-25,41;-41,34;-31,83;-95,82
-15,47;-3,87;-22,95;-39,68;-30,68;-94,67
-15,93;-2,48;-27,74;-37,61;-29,87;-93,25
-16,44;-1,79;-28,19;-36,47;-29,59;-92,09
-17,64;-1,11;-30,49;-34,18;-29,01;-90,72
-19,38;-0,36;-31,87;-32,92;-28,67;-89,34
-18,86;0,10;-33,13;-31,08;-28,33;-87,97
-18,97;0,91;-34,97;-29,83;-27,98;-86,60
-19,26;1,19;-36,17;-28,05;-27,58;-85,22
-19,71;1,83;-38,47;-26,33;-27,35;-83,85
-20,40;2,00;-38,58;-25,59;-27,35;-82,52
-20,79;2,17;-41,45;-23,28;-27,35;-80,92
-22,99;2,35;-42,14;-22,83;-27,29;-79,55
-22,59;2,58;-44,49;-21,46;-27,40;-78,23
-22,36;2,64;-45,53;-19,85;-27,75;-76,63
-22,30;2,47;-47,36;-19,28;-28,09;-75,25
-22,53;2,36;-48,74;-18,37;-28,43;-73,93
-22,53;2,02;-50,00;-16,69;-28,72;-72,33
-22,47;1,67;-51,95;-16,24;-29,29;-70,96
-22,64;1,39;-52,76;-15,55;-29,52;-69,58
-22,88;0,93;-54,65;-14,92;-30,15;-68,21
-22,88;0,25;-55,85;-14,06;-31,01;-66,78
-22,88;-0,44;-56,95;-12,96;-31,93;-65,63
-22,88;-1,13;-58,72;-12,79;-32,56;-64,20
-22,88;-1,76;-59,47;-12,62;-33,30;-63,05
-22,88;-2,56;-60,67;-12,44;-34,57;-61,62
-22,40;-3,59;-61,93;-12,21;-35,72;-60,36
-24,19;-4,68;-63,02;-12,21;-36,11;-59,44
-24,42;-5,36;-63,83;-12,21;-37,78;-58,01
-24,54;-6,80;-64,91;-12,15;-39,10;-56,70
-24,20;-8,12;-65,83;-12,32;-39,67;-55,95
-23,85;-8,68;-66,52;-12,50;-41,62;-55,08
-23,81;-10,65;-67,20;-12,73;-42,54;-52,00
-22,90;-11,56;-67,89;-12,37;-43,86;-52,69
-19,83;-12,87;-68,64;-13,46;-45,53;-52,45
-20,81;-14,60;-69,21;-14,38;-46,56;-50,33
-21,62;-15,34;-69,55;-15,07;-48,45;-47,36
-21,33;-17,53;-69,89;-15,94;-49,43;-49,42
-20,88;-18,26;-70,29;-15,63;-51,49;-48,79
-20,25;-20,40;-70,47;-17,36;-52,76;-48,55
-19,39;-21,42;-70,69;-18,51;-54,54;-45,12
-18,29;-23,20;-70,69;-18,90;-56,08;-43,69
